인증등급,시군구,시설명,인증대상,용도구분,lat,lon
우수,영등포구,여의도우체국,건축물,업무시설,37.522300032888445,126.92622553249879
우수,중구,다산동 공영주차장,건축물,제1종 근린생활시설,37.61428361065271,127.15469949167058
우수,동대문구,홍릉 시연장,건축물,문화 및 집회시설,37.5914489166109,127.045032980323
일반,은평구,갈현동 청소년 문화의 집,건축물,수련시설,37.625501833221,126.919449229751
우수,서초구,말죽거리 구립경로당,건축물,노유자시설,37.48383237901637,127.040499970985
최우수,노원구,서울시립과학관,건축물,문화 및 집회시설,37.64183333311373,127.0775057868646
우수,강북구,강북보훈회관,건축물,노유자시설,37.62664269500478,127.02981108488086
일반,강서구,서울강서경찰서,건축물,업무시설,37.5513470867979,126.849886071842
우수,은평구,은평 인공암벽장,건축물,제2종 근린생활시설,37.6388384398489,126.917159775349
우수,강동구,홀트강동복지관,건축물,노유자시설,37.5662178513278,127.173270650002
우수,양천구,신원어르신어울림센터,건축물,노유자시설,37.534014291263,126.827885508734
우수,도봉구,쌍문4동 경로당,건축물,노유자시설,37.6569986687744,127.030136001082
우수,광진구,자양 공공힐링센터,건축물,업무시설,37.5402953922317,127.065156553392
우수,강동구,강동근린샘터 배드민턴장,건축물,운동시설,37.562145751926614,127.15755136739713
우수,강남구,강남소방서 세곡119안전센터,건축물,업무시설,37.47044767701061,127.1071622023141
우수,은평구,수색동 주민센터,건축물,업무시설,37.58351874118466,126.89369034133401
우수,양천구,신월동 어르신복지관,건축물,노유자시설,37.53435312902806,126.82669561454009
우수,금천구,시흥5동 금천마을활력소,건축물,제1종 근린생활시설,37.4496822703547,126.914052990996
우수,중구,서울역파출소,건축물,제1종 근린생활시설,37.55689465442675,126.97168121473472
일반,종로구,서울지방경찰청 자하문로 별관,건축물,업무시설,37.5829408869796,126.969114957761
일반,도봉구,창4동 주민센터,건축물,업무시설,37.6522376767618,127.051537973498
우수,강서구,국립항공박물관,건축물,문화 및 집회시설,37.55686858966058,126.80886929349872
우수,서대문구,서울서대문경찰서 홍은2파출소,건축물,제1종 근린생활시설,37.58358541262475,126.93620282026423
우수,관악구,관악구 보훈회관,건축물,노유자시설,37.48116551010393,126.90937465073132
우수,마포구,난지안내센터,건축물,제1종 근린생활시설,37.5627684017475,126.885516229928
우수,동대문구,답십리1동 주민센터,건축물,업무시설,37.5717902951744,127.051274202498
우수,강서구,통일문화센터,건축물,업무시설,36.3562292682213,127.342997592804
우수,은평구,가족통합지원센터,건축물,노유자시설,36.9019436715003,127.533279747689
우수,광진구,광진구 구의1동 주민센터,건축물,업무시설,37.5552850500068,127.102353749718
우수,동작구,신대방2동 마을활력소,건축물,제1종 근린생활시설,37.4949885643319,126.916428969716
우수,강동구,도시농업 파믹스센터,건축물,제1종 근린생활시설,37.5556281747738,127.160723479344
우수,관악구,신원동 복합청사,건축물,업무시설,37.4815707566502,126.927328376717
우수,강서구,방신전통시장고객지원센터,건축물,제1종 근린생활시설,37.571506089665,126.812197255021
우수,동작구,상도1동 복합건물,건축물,제1종 근린생활시설,37.5096565155473,126.9468410335
우수,동대문구,홍릉시연장,건축물,문화 및 집회시설,37.5914489166109,127.045032980323
최우수,송파구,서울동부지방법원,건축물,업무시설,37.48327852147471,127.11980302964967
우수,송파구,올림픽회관,건축물,업무시설,37.520496155598,127.11547343524
우수,서대문구,서대문구의회 청사(복합청사),건축물,업무시설,37.578270725726036,126.93841604072557
우수,은평구,수색119안전센터,건축물,업무시설,37.5852613840001,126.889892781451
우수,중구,중구 신당동 공공복합청사,건축물,업무시설,37.5620193340607,127.014452375453
일반,구로구,오류1동 행복주택,건축물,업무시설,37.49578769424586,126.84775604140884
우수,양천구,신정종합사회복지관,건축물,노유자시설,37.52729222034349,126.85567906569487
우수,금천구,금천 어르신복지센터,건축물,노유자시설,37.4571036729405,126.887004409364
일반,강동구,상일동 주민센터,건축물,업무시설,37.55058284647652,127.16830041719341
우수,동대문구,배봉산 근린공원 숲속도서관,건축물,제1종 근린생활시설,37.578441311875,127.062728634017
우수,중랑구,신내경로복지센터,건축물,노유자시설,37.6012540125828,127.099948003533
일반,금천구,금천보훈회관,건축물,제1종 근린생활시설,37.4554199250938,126.908070929997
우수,동작구,상도4동 주민편의복합청사,건축물,업무시설,37.49937527396049,126.941401972639
우수,강서구,서울남부출입국 관리사무소,건축물,업무시설,37.56112818506,126.821326519597
우수,은평구,한국산업인력공단 서울동부지사,건축물,업무시설,37.639762653879686,126.92081044381942
우수,노원구,노원수학문화관,건축물,수련시설,37.65784437126525,127.07235237785358
최우수,영등포구,여의도 우체국,건축물,업무시설,37.522300032888445,126.92622553249879
우수,서초구,양재느티나무쉼터,건축물,노유자시설,37.4838278708736,127.04050901377
우수,강동구,강동구 샘터근린공원 실내배드민턴장,건축물,운동시설,37.562145751926614,127.15755136739713
최우수,서초구,내곡열린문화센터,건축물,노유자시설,37.449367608200475,127.05821995801058
우수,강서구,마곡119안전센터,건축물,제1종 근린생활시설,37.5559303048662,126.820709683648
우수,도봉구,계성경로당,건축물,노유자시설,37.6487790898889,127.025985356872
우수,강남구,나라키움 신사빌딩,건축물,제2종 근린생활시설,37.5203006642625,127.027759709827
우수,서초구,서초느티나무쉼터,건축물,노유자시설,37.4828143728622,127.010876729276
우수,서대문구,북아현문화체육센터,건축물,운동시설,37.56197938659,126.955473714975
우수,성동구,장안평 자동차산업 종합정보센터,건축물,업무시설,37.56027809361188,127.0644982622174
우수,서대문구,서대문구청 별관,건축물,업무시설,37.57910549325275,126.93587154380772
우수,강동구,상일치안센터,건축물,제1종 근린생활시설,37.5470026854548,127.167382557609
최우수,강남구,강남구 커뮤니티센터,건축물,노유자시설,37.49643558809773,127.03196326176345
우수,강서구,공항동 통합복지센터,건축물,제1종 근린생활시설,37.5603664206354,126.808971275756
우수,송파구,SK핸드볼경기장,건축물,운동시설,37.5174000262378,127.126314207965
우수,영등포구,영등포세무서 청사,건축물,업무시설,37.536487923546865,126.89402529519344
우수,성동구,서울새활용플라자,건축물,문화 및 집회시설,37.5587516821148,127.057775284875
우수,강동구,서울 고덕동 우체국,건축물,제1종 근린생활시설,37.560124084320364,127.15469949341038
우수,서대문구,미근 119안전센터,건축물,제1종 근린생활시설,37.5606532168083,126.955732557383
우수,서초구,하천관리사무소,건축물,제1종 근린생활시설,37.1495909430801,127.777719023702
우수,성동구,옥수동 공공복합청사,건축물,업무시설,37.5436318866061,127.01343155731
우수,서초구,서초2파출소,건축물,제1종 근린생활시설,37.48748395379503,127.02895968049401
우수,관악구,구립 무궁화경로당,건축물,노유자시설,37.47003067049059,126.92452587404293
우수,금천구,금천구 어울림복지센터,건축물,노유자시설,37.456985400276,126.897617612826
우수,송파구,송파경찰서 문정지구대,건축물,제1종 근린생활시설,37.47820193694739,127.12699437525139
우수,송파구,나라키움 송파 복합관사,건축물,업무시설,37.505780971388084,127.08205849410734
우수,동대문구,시립동대문 실버케어센터,건축물,노유자시설,37.57584736060709,127.04491943544203
우수,동대문구,영등포경찰서 신길지구대,건축물,제1종 근린생활시설,37.5129505085415,126.92652429565183
우수,종로구,혜화경찰서 덕산파출소,건축물,제1종 근린생활시설,37.57438511410594,127.00933916596948
우수,노원구,하계행복발전소,건축물,제1종 근린생활시설,37.650724329599775,127.08268004943487
우수,구로구,구로 청소년 문화의 집,건축물,수련시설,37.4933967995524,126.832710006602
우수,성동구,성수1가 제2동 공공복합청사,건축물,업무시설,37.5530364703228,127.046341977717
우수,강동구,둔촌도서관,건축물,제1종 근린생활시설,37.53176276563934,127.14813775507461
우수,동작구,신대방1동 구립데이케어센터,건축물,노유자시설,37.4868716744033,126.91066127662
우수,마포구,시립마포 실버케어센터,건축물,노유자시설,37.546930826313975,126.9506959794987
우수,마포구,염리종합사회복지관,건축물,노유자시설,37.554784880821735,126.94870463091715
우수,도봉구,김근태 기념도서관,건축물,제1종 근린생활시설,37.68766726029315,127.04401177464752
우수,마포구,서울서부지방법원 등기국,건축물,업무시설,37.552050143681,126.954809666887
우수,동작구,상도은빛어르신복지관,건축물,노유자시설,37.5064941145375,126.951312964492
우수,종로구,창덕궁 종합관람지원센터,건축물,문화 및 집회시설,37.57804214571477,126.98941735842018
일반,송파구,송파구 청소년 문화의집,건축물,수련시설,37.52928093613128,127.14488817176837
우수,광진구,구의파출소,건축물,제1종 근린생활시설,37.545896419768,127.091667766571
일반,강동구,천호동 마을활력소,건축물,제1종 근린생활시설,37.5483698037485,127.141676214781
우수,강서구,강서문예회관,건축물,문화 및 집회시설,37.537540137403894,126.83759326633412
우수,서대문구,서대문구 보훈회관,건축물,제1종 근린생활시설,37.5715460533458,126.929387270231
우수,금천구,금천소방서,건축물,업무시설,37.464013522563604,126.89788383649012
일반,강동구,길동복합청사,건축물,업무시설,37.534715923279705,127.14254193944033
우수,금천구,시흥5동 복합청사,건축물,업무시설,37.45071685852088,126.9083558336477
최우수,강남구,세곡복합문화센터,건축물,업무시설,37.471489240931,127.094495686418
