사업체명,관할지사,소재지,정제주소,lat,lon
㈜큰희망,서울남부지사,"서울특별시 영등포구 버드나루로2길 7, 1층(영등포동2가, 흥국생명빌딩)","서울특별시 영등포구 버드나루로2길 7, 1층(영등포동2가, 흥국생명빌딩)",37.5210186458719,126.913381869631
파란행복㈜,서울동부지사,"서울특별시 강남구 논현로85길 28, 1층(역삼동, 대한성서공회빌딩)","서울특별시 강남구 논현로85길 28, 1층(역삼동, 대한성서공회빌딩)",37.4988349394231,127.035533563444
㈜홍익덕원,서울남부지사,"서울특별시 영등포구 영등포로5길 19, 8층 813호, 909호(양평동2가, 동아프라임밸리)","서울특별시 영등포구 영등포로5길 19, 8층 813호, 909호(양평동2가, 동아프라임밸리)",37.5241158142187,126.884222107312
(유)삼일행복나눔,서울지역본부,"서울특별시 용산구 한강대로 92, LS용산타워 5층","서울특별시 용산구 한강대로 92, LS용산타워 5층",37.5281759339792,126.96752270323
㈜한울타리,서울지역본부,"서울특별시 종로구 새문안로 58, 2층(신문로2가, LG광화문빌딩)","서울특별시 종로구 새문안로 58, 2층(신문로2가, LG광화문빌딩)",37.5692750422255,126.971580539397
㈜모두락 애경산업,서울지역본부,"서울특별시 마포구 양화로 188, 7층(동교동, 애경타워)","서울특별시 마포구 양화로 188, 7층(동교동, 애경타워)",37.5577458058734,126.926498328277
㈜예스바이오,서울지역본부,"서울특별시 서대문구 모래내로 227 (남가좌동, 지층및,1층,2층,3층)","서울특별시 서대문구 모래내로 227 (남가좌동, 지층및,1층,2층,3층)",37.5745377066012,126.924142956392
㈜우리나눔,서울북부지사,"서울특별시 성동구 아차산로15길 19, 1층(성수동2가)","서울특별시 성동구 아차산로15길 19, 1층(성수동2가)",37.5447507856542,127.062069655934
행복한울㈜,서울지역본부,"서울특별시 중구 을지로 65, 18층(을지로2가, SK-T타워)","서울특별시 중구 을지로 65, 18층(을지로2가, SK-T타워)",37.5664880433373,126.98512795802
주식회사 하티웍스,서울북부지사,"서울특별시 성동구 뚝섬로1나길 5, 6층 L-02호(성수동1가, 헤이그라운드)","서울특별시 성동구 뚝섬로1나길 5, 6층 L-02호(성수동1가, 헤이그라운드)",37.5444719061481,127.047778632224
